Date,3M,6M,9M,1Y,2Y,3Y,4Y,5Y,7Y,10Y,15Y,20Y
04/01/16,3.58,3.69,3.81,3.93,4.38,4.785,5.16,5.48,5.96,6.34,6.775,6.98
05/01/16,3.58,3.68,3.79,3.9,4.335,4.735,5.12,5.42,5.905,6.29,6.725,6.925
06/01/16,3.58,3.68,3.77,3.885,4.315,4.7,5.07,5.4,5.865,6.265,6.7,6.93
07/01/16,3.57,3.67,3.77,3.87,4.29,4.695,5.06,5.37,5.855,6.26,6.695,6.925
08/01/16,3.575,3.68,3.78,3.88,4.3,4.685,5.04,5.34,5.82,6.24,6.685,6.89
11/01/16,3.575,3.68,3.775,3.865,4.28,4.67,5.03,5.335,5.83,6.245,6.69,6.895
12/01/16,3.585,3.665,3.76,3.85,4.24,4.63,5,5.28,5.785,6.2,6.68,6.89
13/01/16,3.59,3.66,3.74,3.815,4.21,4.61,4.96,5.265,5.76,6.185,6.68,6.9
14/01/16,3.585,3.645,3.73,3.81,4.19,4.59,4.97,5.27,5.765,6.205,6.71,6.93
15/01/16,3.59,3.65,3.75,3.83,4.22,4.625,5.01,5.315,5.835,6.26,6.78,7.02
18/01/16,3.59,3.65,3.76,3.84,4.245,4.65,5.03,5.345,5.86,6.3,6.82,7.06
19/01/16,3.59,3.65,3.735,3.82,4.2,4.6,4.975,5.29,5.81,6.27,6.79,7.06
20/01/16,3.62,3.675,3.755,3.84,4.215,4.615,4.99,5.285,5.8,6.275,6.775,7.08
21/01/16,3.61,3.68,3.76,3.85,4.225,4.63,5,5.3,5.815,6.29,6.81,7.09
22/01/16,3.635,3.71,3.79,3.875,4.26,4.645,4.99,5.28,5.795,6.26,6.78,7.055
25/01/16,3.645,3.72,3.8,3.89,4.27,4.655,4.995,5.285,5.795,6.25,6.77,7.06
26/01/16,3.645,3.72,3.805,3.9,4.27,4.64,4.965,5.26,5.76,6.21,6.725,7.01
27/01/16,3.62,3.69,3.78,3.86,4.23,4.605,4.94,5.25,5.75,6.19,6.72,7.005
28/01/16,3.61,3.68,3.77,3.845,4.185,4.56,4.89,5.195,5.69,6.14,6.66,6.945
29/01/16,3.6,3.64,3.72,3.8,4.11,4.46,4.8,5.095,5.59,6.005,6.49,6.78
02/02/16,3.61,3.65,3.74,3.79,4.1,4.43,4.78,5.08,5.58,5.97,6.455,6.755
03/02/16,3.615,3.65,3.71,3.775,4.045,4.38,4.71,4.98,5.47,5.895,6.35,6.64
04/02/16,3.625,3.68,3.75,3.83,4.11,4.435,4.75,5.04,5.53,5.955,6.41,6.7
05/02/16,3.635,3.72,3.78,3.86,4.155,4.485,4.8,5.085,5.57,5.99,6.445,6.735
08/02/16,3.635,3.76,3.835,3.91,4.2,4.515,4.825,5.09,5.59,6.015,6.47,6.76
09/02/16,3.64,3.75,3.855,3.94,4.25,4.57,4.87,5.145,5.61,6.04,6.495,6.785
10/02/16,3.635,3.745,3.84,3.92,4.21,4.52,4.81,5.09,5.56,5.98,6.425,6.71
11/02/16,3.65,3.79,3.89,3.99,4.285,4.58,4.84,5.095,5.57,5.985,6.425,6.7
12/02/16,3.66,3.8,3.905,4,4.28,4.57,4.85,5.1,5.55,5.96,6.4,6.675
15/02/16,3.66,3.8,3.905,4,4.28,4.57,4.85,5.09,5.54,5.95,6.39,6.665
16/02/16,3.65,3.805,3.91,3.99,4.28,4.55,4.86,5.11,5.55,5.96,6.4,6.675
17/02/16,4.07,4.15,4.215,4.26,4.45,4.69,4.965,5.195,5.63,5.98,6.37,6.625
18/02/16,4.15,4.26,4.35,4.43,4.6,4.85,5.1,5.32,5.695,6.03,6.35,6.59
19/02/16,4.17,4.29,4.39,4.46,4.685,4.93,5.175,5.41,5.77,6.1,6.46,6.7
22/02/16,4.17,4.26,4.365,4.44,4.665,4.905,5.165,5.4,5.785,6.11,6.49,6.715
23/02/16,4.185,4.29,4.375,4.46,4.69,4.94,5.21,5.45,5.83,6.17,6.56,6.805
24/02/16,4.18,4.27,4.37,4.45,4.66,4.905,5.17,5.41,5.795,6.125,6.55,6.765
25/02/16,4.16,4.255,4.35,4.42,4.625,4.87,5.13,5.365,5.75,6.1,6.53,6.76
26/02/16,4.17,4.27,4.37,4.455,4.65,4.91,5.18,5.42,5.81,6.17,6.62,6.83
29/02/16,4.15,4.25,4.35,4.43,4.65,4.905,5.155,5.39,5.785,6.145,6.57,6.805
01/03/16,4.16,4.26,4.36,4.46,4.68,4.93,5.18,5.425,5.81,6.18,6.61,6.85
02/03/16,4.165,4.27,4.37,4.465,4.695,4.95,5.22,5.465,5.855,6.22,6.65,6.89
03/03/16,4.16,4.27,4.36,4.46,4.705,4.97,5.26,5.5,5.89,6.28,6.75,6.98
04/03/16,4.16,4.25,4.34,4.42,4.65,4.915,5.17,5.44,5.85,6.225,6.695,6.955
07/03/16,4.145,4.235,4.33,4.4,4.635,4.9,5.16,5.42,5.83,6.2,6.67,6.92
